Year,Indicator_Name,Value
2007,"Adolescent fertility rate (births per 1,000 women ages 15-19)",44.559
2006,"Adolescent fertility rate (births per 1,000 women ages 15-19)",47.679
2005,"Adolescent fertility rate (births per 1,000 women ages 15-19)",50.799
2004,"Adolescent fertility rate (births per 1,000 women ages 15-19)",53.919
2003,"Adolescent fertility rate (births per 1,000 women ages 15-19)",57.039
2002,"Adolescent fertility rate (births per 1,000 women ages 15-19)",60.159
2001,"Adolescent fertility rate (births per 1,000 women ages 15-19)",63.498
2000,"Adolescent fertility rate (births per 1,000 women ages 15-19)",66.837
1999,"Adolescent fertility rate (births per 1,000 women ages 15-19)",70.176
1998,"Adolescent fertility rate (births per 1,000 women ages 15-19)",73.515
1997,"Adolescent fertility rate (births per 1,000 women ages 15-19)",76.854
1996,"Adolescent fertility rate (births per 1,000 women ages 15-19)",80.2784
1995,"Adolescent fertility rate (births per 1,000 women ages 15-19)",83.7028
1994,"Adolescent fertility rate (births per 1,000 women ages 15-19)",87.1272
1993,"Adolescent fertility rate (births per 1,000 women ages 15-19)",90.5516
1992,"Adolescent fertility rate (births per 1,000 women ages 15-19)",93.976
1991,"Adolescent fertility rate (births per 1,000 women ages 15-19)",96.3826
1990,"Adolescent fertility rate (births per 1,000 women ages 15-19)",98.7892
1989,"Adolescent fertility rate (births per 1,000 women ages 15-19)",101.1958
1988,"Adolescent fertility rate (births per 1,000 women ages 15-19)",103.6024
1987,"Adolescent fertility rate (births per 1,000 women ages 15-19)",106.009
1986,"Adolescent fertility rate (births per 1,000 women ages 15-19)",106.6984
1985,"Adolescent fertility rate (births per 1,000 women ages 15-19)",107.3878
1984,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.0772
1983,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.7666
1982,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.456
1981,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.2294
1980,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.0028
1979,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.7762
1978,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.5496
1977,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.323
1976,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.5294
1975,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.7358
1974,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.9422
1973,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.1486
1972,"Adolescent fertility rate (births per 1,000 women ages 15-19)",109.355
1971,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.8364
1970,"Adolescent fertility rate (births per 1,000 women ages 15-19)",108.3178
1969,"Adolescent fertility rate (births per 1,000 women ages 15-19)",107.7992
1968,"Adolescent fertility rate (births per 1,000 women ages 15-19)",107.2806
1967,"Adolescent fertility rate (births per 1,000 women ages 15-19)",106.762
1966,"Adolescent fertility rate (births per 1,000 women ages 15-19)",106.2626
1965,"Adolescent fertility rate (births per 1,000 women ages 15-19)",105.7632
1964,"Adolescent fertility rate (births per 1,000 women ages 15-19)",105.2638
1963,"Adolescent fertility rate (births per 1,000 women ages 15-19)",104.7644
1962,"Adolescent fertility rate (births per 1,000 women ages 15-19)",104.265
1961,"Adolescent fertility rate (births per 1,000 women ages 15-19)",104.093
1960,"Adolescent fertility rate (births per 1,000 women ages 15-19)",103.921
2017,"Mortality rate, adult, female (per 1,000 female adults)",136.204
2016,"Mortality rate, adult, female (per 1,000 female adults)",138.728
2015,"Mortality rate, adult, female (per 1,000 female adults)",141.252
2014,"Mortality rate, adult, female (per 1,000 female adults)",143.776
2013,"Mortality rate, adult, female (per 1,000 female adults)",146.3
2012,"Mortality rate, adult, female (per 1,000 female adults)",148.825
2011,"Mortality rate, adult, female (per 1,000 female adults)",153.377
2010,"Mortality rate, adult, female (per 1,000 female adults)",157.929
2009,"Mortality rate, adult, female (per 1,000 female adults)",162.481
2008,"Mortality rate, adult, female (per 1,000 female adults)",167.033
2007,"Mortality rate, adult, female (per 1,000 female adults)",171.585
2006,"Mortality rate, adult, female (per 1,000 female adults)",174.794
2005,"Mortality rate, adult, female (per 1,000 female adults)",178.003
2004,"Mortality rate, adult, female (per 1,000 female adults)",181.211
2003,"Mortality rate, adult, female (per 1,000 female adults)",184.42
2002,"Mortality rate, adult, female (per 1,000 female adults)",187.628
2001,"Mortality rate, adult, female (per 1,000 female adults)",190.388
2000,"Mortality rate, adult, female (per 1,000 female adults)",193.149
1999,"Mortality rate, adult, female (per 1,000 female adults)",195.909
1998,"Mortality rate, adult, female (per 1,000 female adults)",198.669
1997,"Mortality rate, adult, female (per 1,000 female adults)",201.429
1996,"Mortality rate, adult, female (per 1,000 female adults)",206.352
1995,"Mortality rate, adult, female (per 1,000 female adults)",211.275
1994,"Mortality rate, adult, female (per 1,000 female adults)",216.198
1993,"Mortality rate, adult, female (per 1,000 female adults)",221.121
1992,"Mortality rate, adult, female (per 1,000 female adults)",226.045
1991,"Mortality rate, adult, female (per 1,000 female adults)",231.613
1990,"Mortality rate, adult, female (per 1,000 female adults)",237.181
1989,"Mortality rate, adult, female (per 1,000 female adults)",242.749
1988,"Mortality rate, adult, female (per 1,000 female adults)",248.317
1987,"Mortality rate, adult, female (per 1,000 female adults)",253.885
1986,"Mortality rate, adult, female (per 1,000 female adults)",256.519
1985,"Mortality rate, adult, female (per 1,000 female adults)",259.153
1984,"Mortality rate, adult, female (per 1,000 female adults)",261.786
1983,"Mortality rate, adult, female (per 1,000 female adults)",264.42
1982,"Mortality rate, adult, female (per 1,000 female adults)",267.053
1981,"Mortality rate, adult, female (per 1,000 female adults)",271.966
1980,"Mortality rate, adult, female (per 1,000 female adults)",276.879
1979,"Mortality rate, adult, female (per 1,000 female adults)",281.792
1978,"Mortality rate, adult, female (per 1,000 female adults)",286.705
1977,"Mortality rate, adult, female (per 1,000 female adults)",291.618
1976,"Mortality rate, adult, female (per 1,000 female adults)",302.08
1975,"Mortality rate, adult, female (per 1,000 female adults)",312.541
1974,"Mortality rate, adult, female (per 1,000 female adults)",323.003
1973,"Mortality rate, adult, female (per 1,000 female adults)",333.465
1972,"Mortality rate, adult, female (per 1,000 female adults)",343.926
1971,"Mortality rate, adult, female (per 1,000 female adults)",357.83
1970,"Mortality rate, adult, female (per 1,000 female adults)",371.733
1969,"Mortality rate, adult, female (per 1,000 female adults)",385.636
1968,"Mortality rate, adult, female (per 1,000 female adults)",399.54
1967,"Mortality rate, adult, female (per 1,000 female adults)",413.443
1966,"Mortality rate, adult, female (per 1,000 female adults)",427.071
1965,"Mortality rate, adult, female (per 1,000 female adults)",440.699
1964,"Mortality rate, adult, female (per 1,000 female adults)",454.327
1963,"Mortality rate, adult, female (per 1,000 female adults)",467.955
1962,"Mortality rate, adult, female (per 1,000 female adults)",481.583
1961,"Mortality rate, adult, female (per 1,000 female adults)",492.272
1960,"Mortality rate, adult, female (per 1,000 female adults)",502.962
2017,"Mortality rate, adult, male (per 1,000 male adults)",209.923
2016,"Mortality rate, adult, male (per 1,000 male adults)",212.282
2015,"Mortality rate, adult, male (per 1,000 male adults)",214.641
2014,"Mortality rate, adult, male (per 1,000 male adults)",217
2013,"Mortality rate, adult, male (per 1,000 male adults)",219.359
2012,"Mortality rate, adult, male (per 1,000 male adults)",221.719
2011,"Mortality rate, adult, male (per 1,000 male adults)",223.488
2010,"Mortality rate, adult, male (per 1,000 male adults)",225.258
2009,"Mortality rate, adult, male (per 1,000 male adults)",227.028
2008,"Mortality rate, adult, male (per 1,000 male adults)",228.798
2007,"Mortality rate, adult, male (per 1,000 male adults)",230.568
2006,"Mortality rate, adult, male (per 1,000 male adults)",233.47
2005,"Mortality rate, adult, male (per 1,000 male adults)",236.373
2004,"Mortality rate, adult, male (per 1,000 male adults)",239.276
2003,"Mortality rate, adult, male (per 1,000 male adults)",242.178
2002,"Mortality rate, adult, male (per 1,000 male adults)",245.081
2001,"Mortality rate, adult, male (per 1,000 male adults)",247.597
2000,"Mortality rate, adult, male (per 1,000 male adults)",250.112
1999,"Mortality rate, adult, male (per 1,000 male adults)",252.628
1998,"Mortality rate, adult, male (per 1,000 male adults)",255.144
1997,"Mortality rate, adult, male (per 1,000 male adults)",257.66
1996,"Mortality rate, adult, male (per 1,000 male adults)",260.917
1995,"Mortality rate, adult, male (per 1,000 male adults)",264.173
1994,"Mortality rate, adult, male (per 1,000 male adults)",267.43
1993,"Mortality rate, adult, male (per 1,000 male adults)",270.687
1992,"Mortality rate, adult, male (per 1,000 male adults)",273.944
1991,"Mortality rate, adult, male (per 1,000 male adults)",277.667
1990,"Mortality rate, adult, male (per 1,000 male adults)",281.39
1989,"Mortality rate, adult, male (per 1,000 male adults)",285.113
1988,"Mortality rate, adult, male (per 1,000 male adults)",288.836
1987,"Mortality rate, adult, male (per 1,000 male adults)",292.559
1986,"Mortality rate, adult, male (per 1,000 male adults)",294.365
1985,"Mortality rate, adult, male (per 1,000 male adults)",296.171
1984,"Mortality rate, adult, male (per 1,000 male adults)",297.977
1983,"Mortality rate, adult, male (per 1,000 male adults)",299.782
1982,"Mortality rate, adult, male (per 1,000 male adults)",301.588
1981,"Mortality rate, adult, male (per 1,000 male adults)",304.776
1980,"Mortality rate, adult, male (per 1,000 male adults)",307.964
1979,"Mortality rate, adult, male (per 1,000 male adults)",311.152
1978,"Mortality rate, adult, male (per 1,000 male adults)",314.34
1977,"Mortality rate, adult, male (per 1,000 male adults)",317.528
1976,"Mortality rate, adult, male (per 1,000 male adults)",323.805
1975,"Mortality rate, adult, male (per 1,000 male adults)",330.081
1974,"Mortality rate, adult, male (per 1,000 male adults)",336.357
1973,"Mortality rate, adult, male (per 1,000 male adults)",342.633
1972,"Mortality rate, adult, male (per 1,000 male adults)",348.91
1971,"Mortality rate, adult, male (per 1,000 male adults)",359.496
1970,"Mortality rate, adult, male (per 1,000 male adults)",370.083
1969,"Mortality rate, adult, male (per 1,000 male adults)",380.67
1968,"Mortality rate, adult, male (per 1,000 male adults)",391.256
1967,"Mortality rate, adult, male (per 1,000 male adults)",401.843
1966,"Mortality rate, adult, male (per 1,000 male adults)",413.377
1965,"Mortality rate, adult, male (per 1,000 male adults)",424.91
1964,"Mortality rate, adult, male (per 1,000 male adults)",436.444
1963,"Mortality rate, adult, male (per 1,000 male adults)",447.977
1962,"Mortality rate, adult, male (per 1,000 male adults)",459.511
1961,"Mortality rate, adult, male (per 1,000 male adults)",470.194
1960,"Mortality rate, adult, male (per 1,000 male adults)",480.877
2017,"Birth rate, crude (per 1,000 people)",18.083
2016,"Birth rate, crude (per 1,000 people)",18.332
2015,"Birth rate, crude (per 1,000 people)",18.625
2014,"Birth rate, crude (per 1,000 people)",18.984
2013,"Birth rate, crude (per 1,000 people)",19.416
2012,"Birth rate, crude (per 1,000 people)",19.923
2011,"Birth rate, crude (per 1,000 people)",20.495
2010,"Birth rate, crude (per 1,000 people)",21.114
2009,"Birth rate, crude (per 1,000 people)",21.755
2008,"Birth rate, crude (per 1,000 people)",22.39
2007,"Birth rate, crude (per 1,000 people)",22.996
2006,"Birth rate, crude (per 1,000 people)",23.564
2005,"Birth rate, crude (per 1,000 people)",24.087
2004,"Birth rate, crude (per 1,000 people)",24.571
2003,"Birth rate, crude (per 1,000 people)",25.034
2002,"Birth rate, crude (per 1,000 people)",25.489
2001,"Birth rate, crude (per 1,000 people)",25.944
2000,"Birth rate, crude (per 1,000 people)",26.401
1999,"Birth rate, crude (per 1,000 people)",26.861
1998,"Birth rate, crude (per 1,000 people)",27.324
1997,"Birth rate, crude (per 1,000 people)",27.789
1996,"Birth rate, crude (per 1,000 people)",28.262
1995,"Birth rate, crude (per 1,000 people)",28.749
1994,"Birth rate, crude (per 1,000 people)",29.258
1993,"Birth rate, crude (per 1,000 people)",29.792
1992,"Birth rate, crude (per 1,000 people)",30.348
1991,"Birth rate, crude (per 1,000 people)",30.924
1990,"Birth rate, crude (per 1,000 people)",31.517
1989,"Birth rate, crude (per 1,000 people)",32.121
1988,"Birth rate, crude (per 1,000 people)",32.726
1987,"Birth rate, crude (per 1,000 people)",33.32
1986,"Birth rate, crude (per 1,000 people)",33.89
1985,"Birth rate, crude (per 1,000 people)",34.418
1984,"Birth rate, crude (per 1,000 people)",34.886
1983,"Birth rate, crude (per 1,000 people)",35.289
1982,"Birth rate, crude (per 1,000 people)",35.631
1981,"Birth rate, crude (per 1,000 people)",35.918
1980,"Birth rate, crude (per 1,000 people)",36.167
1979,"Birth rate, crude (per 1,000 people)",36.401
1978,"Birth rate, crude (per 1,000 people)",36.643
1977,"Birth rate, crude (per 1,000 people)",36.909
1976,"Birth rate, crude (per 1,000 people)",37.205
1975,"Birth rate, crude (per 1,000 people)",37.528
1974,"Birth rate, crude (per 1,000 people)",37.866
1973,"Birth rate, crude (per 1,000 people)",38.202
1972,"Birth rate, crude (per 1,000 people)",38.521
1971,"Birth rate, crude (per 1,000 people)",38.822
1970,"Birth rate, crude (per 1,000 people)",39.108
1969,"Birth rate, crude (per 1,000 people)",39.388
1968,"Birth rate, crude (per 1,000 people)",39.672
1967,"Birth rate, crude (per 1,000 people)",39.968
1966,"Birth rate, crude (per 1,000 people)",40.274
1965,"Birth rate, crude (per 1,000 people)",40.587
1964,"Birth rate, crude (per 1,000 people)",40.898
1963,"Birth rate, crude (per 1,000 people)",41.2
1962,"Birth rate, crude (per 1,000 people)",41.484
1961,"Birth rate, crude (per 1,000 people)",41.749
1960,"Birth rate, crude (per 1,000 people)",41.995
2017,"Death rate, crude (per 1,000 people)",7.21
2016,"Death rate, crude (per 1,000 people)",7.195
2015,"Death rate, crude (per 1,000 people)",7.194
2014,"Death rate, crude (per 1,000 people)",7.212
2013,"Death rate, crude (per 1,000 people)",7.251
2012,"Death rate, crude (per 1,000 people)",7.312
2011,"Death rate, crude (per 1,000 people)",7.393
2010,"Death rate, crude (per 1,000 people)",7.492
2009,"Death rate, crude (per 1,000 people)",7.602
2008,"Death rate, crude (per 1,000 people)",7.72
2007,"Death rate, crude (per 1,000 people)",7.839
2006,"Death rate, crude (per 1,000 people)",7.958
2005,"Death rate, crude (per 1,000 people)",8.074
2004,"Death rate, crude (per 1,000 people)",8.189
2003,"Death rate, crude (per 1,000 people)",8.306
2002,"Death rate, crude (per 1,000 people)",8.427
2001,"Death rate, crude (per 1,000 people)",8.555
2000,"Death rate, crude (per 1,000 people)",8.692
1999,"Death rate, crude (per 1,000 people)",8.841
1998,"Death rate, crude (per 1,000 people)",9.003
1997,"Death rate, crude (per 1,000 people)",9.179
1996,"Death rate, crude (per 1,000 people)",9.37
1995,"Death rate, crude (per 1,000 people)",9.579
1994,"Death rate, crude (per 1,000 people)",9.808
1993,"Death rate, crude (per 1,000 people)",10.055
1992,"Death rate, crude (per 1,000 people)",10.316
1991,"Death rate, crude (per 1,000 people)",10.588
1990,"Death rate, crude (per 1,000 people)",10.864
1989,"Death rate, crude (per 1,000 people)",11.135
1988,"Death rate, crude (per 1,000 people)",11.398
1987,"Death rate, crude (per 1,000 people)",11.649
1986,"Death rate, crude (per 1,000 people)",11.888
1985,"Death rate, crude (per 1,000 people)",12.117
1984,"Death rate, crude (per 1,000 people)",12.337
1983,"Death rate, crude (per 1,000 people)",12.558
1982,"Death rate, crude (per 1,000 people)",12.786
1981,"Death rate, crude (per 1,000 people)",13.027
1980,"Death rate, crude (per 1,000 people)",13.29
1979,"Death rate, crude (per 1,000 people)",13.577
1978,"Death rate, crude (per 1,000 people)",13.892
1977,"Death rate, crude (per 1,000 people)",14.233
1976,"Death rate, crude (per 1,000 people)",14.601
1975,"Death rate, crude (per 1,000 people)",14.994
1974,"Death rate, crude (per 1,000 people)",15.408
1973,"Death rate, crude (per 1,000 people)",15.838
1972,"Death rate, crude (per 1,000 people)",16.28
1971,"Death rate, crude (per 1,000 people)",16.73
1970,"Death rate, crude (per 1,000 people)",17.187
1969,"Death rate, crude (per 1,000 people)",17.65
1968,"Death rate, crude (per 1,000 people)",18.122
1967,"Death rate, crude (per 1,000 people)",18.603
1966,"Death rate, crude (per 1,000 people)",19.093
1965,"Death rate, crude (per 1,000 people)",19.591
1964,"Death rate, crude (per 1,000 people)",20.096
1963,"Death rate, crude (per 1,000 people)",20.608
1962,"Death rate, crude (per 1,000 people)",21.126
1961,"Death rate, crude (per 1,000 people)",21.652
1960,"Death rate, crude (per 1,000 people)",22.184
2016,"Contraceptive prevalence, modern methods (% of women ages 15-49)",47.8
2008,"Contraceptive prevalence, modern methods (% of women ages 15-49)",48.1
2006,"Contraceptive prevalence, modern methods (% of women ages 15-49)",48.5
2004,"Contraceptive prevalence, modern methods (% of women ages 15-49)",45.7
2003,"Contraceptive prevalence, modern methods (% of women ages 15-49)",45.7
2000,"Contraceptive prevalence, modern methods (% of women ages 15-49)",42.3
1999,"Contraceptive prevalence, modern methods (% of women ages 15-49)",42.8
1993,"Contraceptive prevalence, modern methods (% of women ages 15-49)",36.5
1988,"Contraceptive prevalence, modern methods (% of women ages 15-49)",39.9
1981,"Contraceptive prevalence, modern methods (% of women ages 15-49)",28.1
1971,"Contraceptive prevalence, modern methods (% of women ages 15-49)",9.5
2016,"Contraceptive prevalence, any methods (% of women ages 15-49)",53.5
2008,"Contraceptive prevalence, any methods (% of women ages 15-49)",54.8
2006,"Contraceptive prevalence, any methods (% of women ages 15-49)",56.3
2005,"Contraceptive prevalence, any methods (% of women ages 15-49)",54.4
2004,"Contraceptive prevalence, any methods (% of women ages 15-49)",53
2003,"Contraceptive prevalence, any methods (% of women ages 15-49)",53
2000,"Contraceptive prevalence, any methods (% of women ages 15-49)",46.9
1999,"Contraceptive prevalence, any methods (% of women ages 15-49)",48.2
1993,"Contraceptive prevalence, any methods (% of women ages 15-49)",40.7
1988,"Contraceptive prevalence, any methods (% of women ages 15-49)",44.9
1981,"Contraceptive prevalence, any methods (% of women ages 15-49)",35.3
1980,"Contraceptive prevalence, any methods (% of women ages 15-49)",35.3
1971,"Contraceptive prevalence, any methods (% of women ages 15-49)",13.6
1970,"Contraceptive prevalence, any methods (% of women ages 15-49)",13.6
2018,"Mortality rate, infant, female (per 1,000 live births)",29.9
2015,"Mortality rate, infant, female (per 1,000 live births)",35.2
2010,"Mortality rate, infant, female (per 1,000 live births)",45.9
2000,"Mortality rate, infant, female (per 1,000 live births)",66.8
1990,"Mortality rate, infant, female (per 1,000 live births)",86.4
2018,"Mortality rate, infant (per 1,000 live births)",29.9
2017,"Mortality rate, infant (per 1,000 live births)",31.5
2016,"Mortality rate, infant (per 1,000 live births)",33.2
2015,"Mortality rate, infant (per 1,000 live births)",35
2014,"Mortality rate, infant (per 1,000 live births)",36.9
2013,"Mortality rate, infant (per 1,000 live births)",38.9
2012,"Mortality rate, infant (per 1,000 live births)",40.9
2011,"Mortality rate, infant (per 1,000 live births)",43
2010,"Mortality rate, infant (per 1,000 live births)",45.1
2009,"Mortality rate, infant (per 1,000 live births)",47.3
2008,"Mortality rate, infant (per 1,000 live births)",49.4
2007,"Mortality rate, infant (per 1,000 live births)",51.5
2006,"Mortality rate, infant (per 1,000 live births)",53.6
2005,"Mortality rate, infant (per 1,000 live births)",55.7
2004,"Mortality rate, infant (per 1,000 live births)",57.8
2003,"Mortality rate, infant (per 1,000 live births)",59.9
2002,"Mortality rate, infant (per 1,000 live births)",62.1
2001,"Mortality rate, infant (per 1,000 live births)",64.3
2000,"Mortality rate, infant (per 1,000 live births)",66.6
1999,"Mortality rate, infant (per 1,000 live births)",68.9
1998,"Mortality rate, infant (per 1,000 live births)",71.2
1997,"Mortality rate, infant (per 1,000 live births)",73.5
1996,"Mortality rate, infant (per 1,000 live births)",75.8
1995,"Mortality rate, infant (per 1,000 live births)",78
1994,"Mortality rate, infant (per 1,000 live births)",80.1
1993,"Mortality rate, infant (per 1,000 live births)",82.1
1992,"Mortality rate, infant (per 1,000 live births)",84.2
1991,"Mortality rate, infant (per 1,000 live births)",86.3
1990,"Mortality rate, infant (per 1,000 live births)",88.6
1989,"Mortality rate, infant (per 1,000 live births)",90.9
1988,"Mortality rate, infant (per 1,000 live births)",93.4
1987,"Mortality rate, infant (per 1,000 live births)",95.9
1986,"Mortality rate, infant (per 1,000 live births)",98.4
1985,"Mortality rate, infant (per 1,000 live births)",100.9
1984,"Mortality rate, infant (per 1,000 live births)",103.4
1983,"Mortality rate, infant (per 1,000 live births)",105.9
1982,"Mortality rate, infant (per 1,000 live births)",108.7
1981,"Mortality rate, infant (per 1,000 live births)",111.6
1980,"Mortality rate, infant (per 1,000 live births)",114.7
1979,"Mortality rate, infant (per 1,000 live births)",118
1978,"Mortality rate, infant (per 1,000 live births)",121.3
1977,"Mortality rate, infant (per 1,000 live births)",124.8
1976,"Mortality rate, infant (per 1,000 live births)",128.1
1975,"Mortality rate, infant (per 1,000 live births)",131.2
1974,"Mortality rate, infant (per 1,000 live births)",134
1973,"Mortality rate, infant (per 1,000 live births)",136.6
1972,"Mortality rate, infant (per 1,000 live births)",138.9
1971,"Mortality rate, infant (per 1,000 live births)",141.1
1970,"Mortality rate, infant (per 1,000 live births)",142.9
1969,"Mortality rate, infant (per 1,000 live births)",144.7
1968,"Mortality rate, infant (per 1,000 live births)",146.4
1967,"Mortality rate, infant (per 1,000 live births)",148
1966,"Mortality rate, infant (per 1,000 live births)",149.6
1965,"Mortality rate, infant (per 1,000 live births)",151.3
1964,"Mortality rate, infant (per 1,000 live births)",153.1
1963,"Mortality rate, infant (per 1,000 live births)",154.9
1962,"Mortality rate, infant (per 1,000 live births)",156.9
1961,"Mortality rate, infant (per 1,000 live births)",159.1
1960,"Mortality rate, infant (per 1,000 live births)",161.4
2018,"Mortality rate, infant, male (per 1,000 live births)",30
2015,"Mortality rate, infant, male (per 1,000 live births)",34.8
2010,"Mortality rate, infant, male (per 1,000 live births)",44.4
2000,"Mortality rate, infant, male (per 1,000 live births)",66.4
1990,"Mortality rate, infant, male (per 1,000 live births)",90.6
2017,"Life expectancy at birth, female (years)",70.425
2016,"Life expectancy at birth, female (years)",70.142
2015,"Life expectancy at birth, female (years)",69.835
2014,"Life expectancy at birth, female (years)",69.491
2013,"Life expectancy at birth, female (years)",69.106
2012,"Life expectancy at birth, female (years)",68.68
2011,"Life expectancy at birth, female (years)",68.218
2010,"Life expectancy at birth, female (years)",67.73
2009,"Life expectancy at birth, female (years)",67.231
2008,"Life expectancy at birth, female (years)",66.735
2007,"Life expectancy at birth, female (years)",66.253
2006,"Life expectancy at birth, female (years)",65.793
2005,"Life expectancy at birth, female (years)",65.357
2004,"Life expectancy at birth, female (years)",64.943
2003,"Life expectancy at birth, female (years)",64.543
2002,"Life expectancy at birth, female (years)",64.145
2001,"Life expectancy at birth, female (years)",63.745
2000,"Life expectancy at birth, female (years)",63.334
1999,"Life expectancy at birth, female (years)",62.906
1998,"Life expectancy at birth, female (years)",62.46
1997,"Life expectancy at birth, female (years)",61.992
1996,"Life expectancy at birth, female (years)",61.503
1995,"Life expectancy at birth, female (years)",60.991
1994,"Life expectancy at birth, female (years)",60.454
1993,"Life expectancy at birth, female (years)",59.9
1992,"Life expectancy at birth, female (years)",59.337
1991,"Life expectancy at birth, female (years)",58.774
1990,"Life expectancy at birth, female (years)",58.226
1989,"Life expectancy at birth, female (years)",57.707
1988,"Life expectancy at birth, female (years)",57.226
1987,"Life expectancy at birth, female (years)",56.782
1986,"Life expectancy at birth, female (years)",56.373
1985,"Life expectancy at birth, female (years)",55.988
1984,"Life expectancy at birth, female (years)",55.616
1983,"Life expectancy at birth, female (years)",55.237
1982,"Life expectancy at birth, female (years)",54.835
1981,"Life expectancy at birth, female (years)",54.397
1980,"Life expectancy at birth, female (years)",53.912
1979,"Life expectancy at birth, female (years)",53.371
1978,"Life expectancy at birth, female (years)",52.779
1977,"Life expectancy at birth, female (years)",52.142
1976,"Life expectancy at birth, female (years)",51.466
1975,"Life expectancy at birth, female (years)",50.759
1974,"Life expectancy at birth, female (years)",50.029
1973,"Life expectancy at birth, female (years)",49.29
1972,"Life expectancy at birth, female (years)",48.55
1971,"Life expectancy at birth, female (years)",47.818
1970,"Life expectancy at birth, female (years)",47.099
1969,"Life expectancy at birth, female (years)",46.393
1968,"Life expectancy at birth, female (years)",45.698
1967,"Life expectancy at birth, female (years)",45.012
1966,"Life expectancy at birth, female (years)",44.335
1965,"Life expectancy at birth, female (years)",43.669
1964,"Life expectancy at birth, female (years)",43.015
1963,"Life expectancy at birth, female (years)",42.375
1962,"Life expectancy at birth, female (years)",41.748
1961,"Life expectancy at birth, female (years)",41.133
1960,"Life expectancy at birth, female (years)",40.529
2017,"Life expectancy at birth, total (years)",69.165
2016,"Life expectancy at birth, total (years)",68.897
2015,"Life expectancy at birth, total (years)",68.607
2014,"Life expectancy at birth, total (years)",68.286
2013,"Life expectancy at birth, total (years)",67.931
2012,"Life expectancy at birth, total (years)",67.545
2011,"Life expectancy at birth, total (years)",67.13
2010,"Life expectancy at birth, total (years)",66.693
2009,"Life expectancy at birth, total (years)",66.244
2008,"Life expectancy at birth, total (years)",65.794
2007,"Life expectancy at birth, total (years)",65.35
2006,"Life expectancy at birth, total (years)",64.918
2005,"Life expectancy at birth, total (years)",64.5
2004,"Life expectancy at birth, total (years)",64.095
2003,"Life expectancy at birth, total (years)",63.699
2002,"Life expectancy at birth, total (years)",63.304
2001,"Life expectancy at birth, total (years)",62.907
2000,"Life expectancy at birth, total (years)",62.505
1999,"Life expectancy at birth, total (years)",62.093
1998,"Life expectancy at birth, total (years)",61.669
1997,"Life expectancy at birth, total (years)",61.233
1996,"Life expectancy at birth, total (years)",60.783
1995,"Life expectancy at birth, total (years)",60.32
1994,"Life expectancy at birth, total (years)",59.84
1993,"Life expectancy at birth, total (years)",59.349
1992,"Life expectancy at birth, total (years)",58.851
1991,"Life expectancy at birth, total (years)",58.353
1990,"Life expectancy at birth, total (years)",57.865
1989,"Life expectancy at birth, total (years)",57.4
1988,"Life expectancy at birth, total (years)",56.963
1987,"Life expectancy at birth, total (years)",56.553
1986,"Life expectancy at birth, total (years)",56.169
1985,"Life expectancy at birth, total (years)",55.801
1984,"Life expectancy at birth, total (years)",55.441
1983,"Life expectancy at birth, total (years)",55.074
1982,"Life expectancy at birth, total (years)",54.686
1981,"Life expectancy at birth, total (years)",54.268
1980,"Life expectancy at birth, total (years)",53.814
1979,"Life expectancy at birth, total (years)",53.319
1978,"Life expectancy at birth, total (years)",52.786
1977,"Life expectancy at birth, total (years)",52.222
1976,"Life expectancy at birth, total (years)",51.63
1975,"Life expectancy at birth, total (years)",51.012
1974,"Life expectancy at birth, total (years)",50.374
1973,"Life expectancy at birth, total (years)",49.722
1972,"Life expectancy at birth, total (years)",49.061
1971,"Life expectancy at birth, total (years)",48.398
1970,"Life expectancy at birth, total (years)",47.737
1969,"Life expectancy at birth, total (years)",47.081
1968,"Life expectancy at birth, total (years)",46.428
1967,"Life expectancy at birth, total (years)",45.779
1966,"Life expectancy at birth, total (years)",45.136
1965,"Life expectancy at birth, total (years)",44.5
1964,"Life expectancy at birth, total (years)",43.873
1963,"Life expectancy at birth, total (years)",43.252
1962,"Life expectancy at birth, total (years)",42.637
1961,"Life expectancy at birth, total (years)",42.027
1960,"Life expectancy at birth, total (years)",41.422
2017,"Life expectancy at birth, male (years)",68
2016,"Life expectancy at birth, male (years)",67.745
2015,"Life expectancy at birth, male (years)",67.468
2014,"Life expectancy at birth, male (years)",67.167
2013,"Life expectancy at birth, male (years)",66.84
2012,"Life expectancy at birth, male (years)",66.488
2011,"Life expectancy at birth, male (years)",66.115
2010,"Life expectancy at birth, male (years)",65.723
2009,"Life expectancy at birth, male (years)",65.32
2008,"Life expectancy at birth, male (years)",64.91
2007,"Life expectancy at birth, male (years)",64.499
